alcaldia_catalogo,franja,dia_semana,mes,quincena,finde,trimestre,prob_bajo,prob_medio,prob_alto,nivel_riesgo,nivel_codigo,indice_riesgo
Azcapotzalco,Mañana (06-11),Jueves,3,0,0,1,0.2637,0.5096,0.2268,Medio,1,48.2
Azcapotzalco,Mañana (06-11),Jueves,3,1,0,1,0.2507,0.5062,0.243,Medio,1,49.6
Azcapotzalco,Noche (18-23),Jueves,3,0,0,1,0.196,0.5138,0.2901,Medio,1,54.7
Azcapotzalco,Noche (18-23),Jueves,3,1,0,1,0.1822,0.5305,0.2873,Medio,1,55.3
Azcapotzalco,Tarde (12-17),Jueves,3,0,0,1,0.148,0.5274,0.3246,Medio,1,58.8
Azcapotzalco,Tarde (12-17),Jueves,3,1,0,1,0.161,0.5023,0.3367,Medio,1,58.8
Azcapotzalco,Madrugada (00-05),Lunes,3,0,0,1,0.7822,0.2038,0.014,Bajo,0,11.6
Azcapotzalco,Madrugada (00-05),Lunes,3,1,0,1,0.7606,0.2253,0.0141,Bajo,0,12.7
Azcapotzalco,Mañana (06-11),Lunes,3,0,0,1,0.3312,0.4627,0.2061,Medio,1,43.7
Azcapotzalco,Mañana (06-11),Lunes,3,1,0,1,0.2985,0.5008,0.2007,Medio,1,45.1
Azcapotzalco,Noche (18-23),Lunes,3,0,0,1,0.2429,0.5081,0.249,Medio,1,50.3
Azcapotzalco,Noche (18-23),Lunes,3,1,0,1,0.2347,0.532,0.2333,Medio,1,49.9
Azcapotzalco,Tarde (12-17),Lunes,3,0,0,1,0.1566,0.4572,0.3861,Medio,1,61.5
Azcapotzalco,Tarde (12-17),Lunes,3,1,0,1,0.1483,0.4861,0.3656,Medio,1,60.9
Azcapotzalco,Madrugada (00-05),Martes,3,0,0,1,0.8639,0.1267,0.0094,Bajo,0,7.3
Azcapotzalco,Madrugada (00-05),Martes,3,1,0,1,0.8509,0.1391,0.01,Bajo,0,8.0
Azcapotzalco,Mañana (06-11),Martes,3,0,0,1,0.2376,0.5081,0.2543,Medio,1,50.8
Azcapotzalco,Mañana (06-11),Martes,3,1,0,1,0.2072,0.5213,0.2716,Medio,1,53.2
Azcapotzalco,Noche (18-23),Martes,3,0,0,1,0.2187,0.5275,0.2538,Medio,1,51.8
Azcapotzalco,Noche (18-23),Martes,3,1,0,1,0.193,0.5411,0.2658,Medio,1,53.6
Azcapotzalco,Tarde (12-17),Martes,3,0,0,1,0.156,0.4555,0.3885,Medio,1,61.6
